"","x"
"2",1451.80252826087
"4",1340.28433848675
"6",1290.65774801056
"15",1277.06036745501
"17",1399.52562249164
"23",1206.37967182009
"39",1578.33616831502
"43",1638.08802984384
"53",1781.10133936765
"54",1848.02823936765
"63",1938.91172380952
"67",2070.08459724311
"70",2059.59536666667
"71",2268.2426877193
"73",2341.02926390977
"74",2253.4466
"82",2079.3761
"89",2270.70074736842
"105",2884.4476530303
"107",3081.0114030303
"108",3596.02973636364
"114",3938.13086111111
"120",4336.72049707603
"122",4154.7935515873
"125",4203.63578596491
"128",4951.27807142857
"131",4711.73698571428
"136",4438.94631111111
"142",4773.05028596491
"145",4589.23749548872
"154",5003.40303809524
"156",4556.81294285714
"160",4405.2064026862
"161",4660.1127764411
"163",4759.82738596492
"164",4789.78471929824
"169",4976.27121111111
"178",4624.2009
"179",4666.35168205128
"187",4621.32442820513
"194",4578.66338644689
"213",4438.97539633699
"214",4611.26713919414
"217",4658.04853333334
"218",4230.21836666667
"219",4381.1461
"229",4697.56316190476
"230",4642.70167142857
"232",4798.76474285714
"233",4442.83586666667
"236",4669.05678571429
"237",4219.7217
"239",4003.55576666667
"243",4857.3936
"247",4499.7992948718
"249",3334.41223333333
"254",4729.89002820513
"257",4600.99906153846
"258",4342.2283
"262",4330.1436
"266",3715.454
"267",4603.62863333333
"273",4652.20037142857
"292",3094.00226666667
"294",4023.67872651515
"302",2496.9901047619
"308",3611.10911277056
"325",2272.17663809524
"330",3300.26305808271
"332",3786.64790952381
"338",3355.94401904762
"340",2335.95126666667
"342",3079.53173333333
"347",3343.13198676236
"350",3278.0726
"360",2356.12900952381
"361",2642.1879
"368",2740.91566666667
"372",3493.45206666667
"377",2946.93863809524
"382",3191.47313809524
"391",3338.20324444444
"400",2832.79394444444
"410",3785.06468124098
"415",3372.0535018759
"422",3600.7942981241
"430",3505.88356132756
"431",3927.60732020202
"439",6429.72782283272
"440",6326.6775485903
"441",5472.47331428571
"462",5541.06065353535
"463",5910.02603686868
"479",4732.6399
"482",5936.21891111111
"483",5831.08452575758
"485",6066.15714704185
"487",6277.298
"490",6715.35228791209
"493",5947.5662
"494",5958.20646666667
"495",6005.53076666667
"506",6757.74579761905
"508",6052.39892222222
"509",6308.94052222222
"514",6478.17663571428
"526",7415.10448852814
"527",6930.88453333333
"531",7222.79211666667
"536",6837.14178333334
"538",6235.19444444444
"547",6766.05047101449
"550",6535.77170990338
"552",5853.00781111111
"553",5736.24827777778
"576",6796.49266825397
"580",7203.64804323671
"583",6705.16017727272
"588",6587.76683333333
"596",7114.63165954264
"598",6156.21102857143
"606",7064.61714590627
"607",7403.15521625259
"608",7423.04549170274
"612",6356.82365555556
"614",7003.91847101449
"621",7674.12886666667
"623",7666.48848888889
"630",7626.05415555556
"634",7601.20274545455
"646",5748.2926
"652",6191.16212222222
"657",6922.43597124543
"659",7402.87226251526
"661",7005.84731648351
"670",4366.20516666667
"692",5110.31415238095
"699",5097.13361904762
"705",5625.32192222223
"711",4765.6013
"728",2153.92692857143
